Time,Ajay:RELB:X,Ajay:RELB:Y,Ajay:RELB:Z,Ajay:RSHO:X,Ajay:RSHO:Y,Ajay:RSHO:Z,Ajay:RFA1:X,Ajay:RFA1:Y,Ajay:RFA1:Z,Ajay:RFA2:X,Ajay:RFA2:Y,Ajay:RFA2:Z,Ajay:RFRA:X,Ajay:RFRA:Y,Ajay:RFRA:Z,Ajay:RH1:X,Ajay:RH1:Y,Ajay:RH1:Z,Ajay:RH2:X,Ajay:RH2:Y,Ajay:RH2:Z,Ajay:RH3:X,Ajay:RH3:Y,Ajay:RH3:Z,Ajay:RH4:X,Ajay:RH4:Y,Ajay:RH4:Z,Ajay:RH5:X,Ajay:RH5:Y,Ajay:RH5:Z,Ajay:RH6:X,Ajay:RH6:Y,Ajay:RH6:Z,Ajay:RIF1:X,Ajay:RIF1:Y,Ajay:RIF1:Z,Ajay:RIF2:X,Ajay:RIF2:Y,Ajay:RIF2:Z,Ajay:RIF3:X,Ajay:RIF3:Y,Ajay:RIF3:Z,Ajay:RPF1:X,Ajay:RPF1:Y,Ajay:RPF1:Z,Ajay:RPF2:X,Ajay:RPF2:Y,Ajay:RPF2:Z,Ajay:RPF3:X,Ajay:RPF3:Y,Ajay:RPF3:Z,Ajay:RRF1:X,Ajay:RRF1:Y,Ajay:RRF1:Z,Ajay:RRF2:X,Ajay:RRF2:Y,Ajay:RRF2:Z,Ajay:RRF3:X,Ajay:RRF3:Y,Ajay:RRF3:Z,Ajay:RRF4:X,Ajay:RRF4:Y,Ajay:RRF4:Z,Ajay:RTF1:X,Ajay:RTF1:Y,Ajay:RTF1:Z,Ajay:RTF2:X,Ajay:RTF2:Y,Ajay:RTF2:Z,Ajay:RTF3:X,Ajay:RTF3:Y,Ajay:RTF3:Z,Ajay:RTH1:X,Ajay:RTH1:Y,Ajay:RTH1:Z,Ajay:RTH2:X,Ajay:RTH2:Y,Ajay:RTH2:Z,Ajay:RTH3:X,Ajay:RTH3:Y,Ajay:RTH3:Z,Ajay:RUPA:X,Ajay:RUPA:Y,Ajay:RUPA:Z,Ajay:RWRA:X,Ajay:RWRA:Y,Ajay:RWRA:Z,Ajay:RWRB:X,Ajay:RWRB:Y,Ajay:RWRB:Z
0.0000,570.7,-354.84,50.287,412.53,-389.81,298.53,,,,467.86,-167.02,-5.3896,,,,362,-115.3,-4.1039,349.45,-88.521,10.207,369.49,-69.025,13.037,389.85,-69.459,3.4014,410.42,-61.688,-12.228,421.66,-93.808,-11.03,311.36,-50.811,7.8682,296.86,-31.906,11.928,275.77,-7.98,3.7422,389.95,-29.784,-1.284,377,-3.1736,5.0267,,,,,,,,,,,,,319.27,22.891,11.559,331.96,-26.083,14.9,312.73,0.11941,15.793,,,,329.47,-119.23,-33.343,303.6,-92.919,-30.985,287.33,-74.449,-35.271,490.18,-367.43,167.48,394.54,-151.26,-3.2854,443.35,-121.45,-13.243
0.0083,571.47,-354.49,49.15,414.3,-390.36,297.87,,,,468.07,-166.71,-5.8567,,,,362.16,-115.15,-4.2059,349.5,-88.299,10.187,369.48,-68.866,12.936,389.9,-69.226,3.3287,410.24,-61.526,-12.482,421.81,-93.57,-11.102,311.03,-51.173,8.5604,296.7,-31.962,11.91,275.58,-8.0466,3.7761,389.79,-29.692,-1.3357,377.21,-2.9079,5.1503,,,,,,,,,,,,,318.61,22.907,11.14,331.77,-26.238,15.39,312.59,0.196,15.728,,,,329.45,-119.22,-33.079,303.61,-92.768,-30.864,287.31,-74.361,-35.032,491.46,-367.57,166.67,394.72,-151.09,-3.4846,443.42,-121.17,-13.5
0.0167,572.25,-354.11,48.041,416.01,-390.93,297.25,,,,468.31,-166.43,-6.2476,496.5,-248.39,41.916,362.28,-115,-4.2566,349.61,-88.124,10.214,369.52,-68.7,12.854,389.97,-69.015,3.2953,410.1,-61.279,-12.707,421.92,-93.349,-11.18,310.9,-51.286,8.7833,296.62,-32.015,11.911,275.49,-8.0544,3.8093,389.17,-29.317,-1.6032,377.61,-2.6798,5.6197,,,,367.95,-31.898,9.9965,360.6,-22.135,13.052,,,,318.33,22.974,11.059,331.75,-26.155,15.578,312.53,0.29626,15.708,,,,329.48,-118.93,-33.273,303.65,-92.618,-30.759,287.33,-74.23,-34.873,492.73,-367.73,165.83,394.82,-150.91,-3.5362,443.49,-120.9,-13.7
0.0250,573.02,-353.72,47.001,417.67,-391.58,296.65,,,,468.54,-166.13,-6.5497,497.02,-248.12,41.292,362.35,-114.82,-4.2081,349.71,-87.984,10.277,369.59,-68.501,12.771,390.06,-68.856,3.2715,410.31,-61.026,-12.536,422.02,-93.106,-11.225,310.92,-51.141,8.4999,296.38,-32.065,11.827,275.41,-8.0544,3.8142,388.48,-28.598,-1.9198,377.86,-2.4815,5.9542,,,,368.03,-31.712,10.045,360.65,-21.89,13.229,,,,318.46,23.197,11.037,331.82,-25.876,15.472,312.51,0.40554,15.728,,,,329.6,-118.63,-33.444,303.74,-92.435,-30.69,287.4,-74.053,-34.791,494,-367.9,165.04,394.94,-150.69,-3.5585,443.65,-120.59,-13.783
0.0333,574.09,-353.38,46.249,419.32,-392.32,296.08,,,,468.76,-165.76,-6.8312,497.56,-247.85,40.784,362.4,-114.59,-4.1226,349.83,-87.814,10.29,369.66,-68.279,12.777,390.18,-68.65,3.2766,410.6,-60.774,-12.321,422.12,-92.819,-11.23,310.96,-50.933,8.191,295.9,-32.132,11.634,275.29,-8.0979,3.7919,388.66,-28.311,-1.8208,377.92,-2.3631,6.1046,354.26,16.208,6.5663,368.1,-31.466,10.125,360.65,-21.683,13.346,,,,318.6,23.404,10.991,331.98,-25.526,15.164,312.5,0.54632,15.779,,,,329.71,-118.5,-33.263,304.37,-92.353,-30.926,287.42,-73.925,-34.672,495.21,-368.05,164.28,395.17,-150.47,-3.6656,443.86,-120.27,-13.826
0.0417,575.46,-353.09,45.794,420.95,-393.06,295.54,,,,469.01,-165.39,-7.0596,498.07,-247.56,40.329,362.53,-114.34,-4.1212,349.99,-87.596,10.257,369.72,-68.029,12.831,390.32,-68.339,3.3092,410.72,-60.497,-12.253,422.29,-92.484,-11.226,310.94,-50.93,8.3937,295.5,-32.18,11.554,275.14,-8.1341,3.7668,389.62,-28.529,-1.3014,377.86,-2.2227,6.0433,353.16,15.733,7.9268,368.15,-31.194,10.122,360.67,-21.452,13.174,,,,318.56,23.552,11.027,332.12,-25.246,14.996,312.42,0.69931,15.805,,,,329.78,-118.45,-32.891,306.07,-92.543,-31.721,287.38,-73.836,-34.466,496.4,-368.2,163.6,395.44,-150.29,-3.7572,444,-119.94,-13.913
0.0500,576.53,-352.74,45.23,422.57,-393.81,295.04,,,,469.26,-165.04,-7.2101,498.57,-247.27,39.883,362.72,-114.1,-4.1985,350.07,-87.398,10.238,369.78,-67.755,12.813,390.4,-68.03,3.2858,410.78,-60.23,-12.222,422.49,-92.172,-11.193,310.85,-50.96,8.6077,295.37,-32.182,11.54,274.96,-8.1708,3.7408,390.27,-28.579,-0.97817,377.9,-1.9553,5.9932,352.88,15.804,8.389,368.23,-30.943,10.126,360.78,-21.138,13.029,,,,318.55,23.766,11.019,332.12,-25.062,15.048,312.26,0.79654,15.755,,,,329.88,-118.3,-32.702,306.18,-92.317,-31.711,287.43,-73.673,-34.371,497.59,-368.37,163,395.68,-150.09,-3.7532,444.08,-119.63,-14.005
0.0583,577.29,-352.28,44.48,424.17,-394.6,294.54,,,,469.48,-164.68,-7.3399,499.09,-246.99,39.511,362.89,-113.87,-4.2545,350.02,-87.208,10.22,369.81,-67.482,12.763,390.45,-67.772,3.2324,410.82,-59.932,-12.235,422.63,-91.878,-11.134,310.72,-50.912,8.5551,295.3,-32.164,11.484,274.75,-8.2183,3.7417,390.41,-28.347,-0.93488,378.1,-1.6451,6.1062,353.02,16.153,8.3906,368.29,-30.714,10.174,360.93,-20.829,13.025,,,,318.61,24.021,10.976,332.09,-24.898,15.104,312.15,0.89374,15.743,,,,330.02,-118.08,-32.681,306.29,-92.098,-31.758,287.54,-73.521,-34.416,498.73,-368.52,162.38,395.86,-149.87,-3.6601,444.14,-119.32,-14.048
0.0667,578.02,-351.74,43.7,425.74,-395.4,294.03,,,,469.7,-164.33,-7.4616,499.58,-246.69,39.198,362.98,-113.62,-4.2709,349.96,-86.956,10.152,369.67,-67.273,12.636,390.53,-67.49,3.2068,410.87,-59.617,-12.247,422.71,-91.582,-11.043,310.62,-50.858,8.4974,295.16,-32.145,11.46,274.52,-8.2611,3.7577,390.47,-28.039,-0.88054,378.23,-1.3836,6.1257,353.68,16.579,7.995,368.2,-30.523,10.099,361,-20.54,13.032,,,,318.66,24.291,10.98,332.08,-24.683,15.112,312.12,1.0537,15.827,,,,330.16,-117.88,-32.643,306.41,-91.949,-31.765,287.59,-73.44,-34.441,499.82,-368.63,161.79,395.98,-149.66,-3.5602,444.26,-118.99,-13.981
0.0750,578.76,-351.16,42.991,427.27,-396.22,293.5,,,,469.89,-163.97,-7.5366,500.05,-246.37,38.925,363,-113.37,-4.2785,349.94,-86.689,10.063,369.43,-67.117,12.368,390.5,-67.199,3.1661,410.91,-59.328,-12.258,422.74,-91.294,-10.942,310.5,-50.762,8.454,295.02,-32.106,11.472,274.28,-8.2968,3.7489,390.5,-27.754,-0.82645,378.26,-1.1892,6.0895,355.3,17.124,6.8014,368.1,-30.319,10.015,361,-20.268,13.045,,,,318.69,24.582,10.976,332.01,-24.427,15.054,312.02,1.2251,15.914,,,,330.2,-117.69,-32.585,306.43,-91.847,-31.718,287.55,-73.379,-34.415,500.89,-368.71,161.24,396.05,-149.47,-3.5312,444.35,-118.67,-13.926
